,tanggal,penulis,judul,isi berita,lokasi,link berita
0,"Selasa, 27 Jul 2021 20:04 WIB",Isal Mawardi - detikNews,Seleb TikTok Bekasi Juga Dipanggil Polisi Usai Viral Pesta Ultah di Hotel,"Bekasi - Seleb TikTok Juyy Putri harus berurusan dengan hukum usai menggelar pesta ulang tahun di sebuah hotel di Bekasi , Jawa Barat, saat pelaksanaan PPKM. Juyy Putri dipanggil polisi hari ini. ""Sudah, kita sudah panggil, sudah kita ambil langkah-langkah,"" ujar Wakapolres Metro Bekasi Kota AKBP Alfian Nurizzal kepada detikcom , Selasa (27/7/2021). Polisi masih memeriksa Juyy Putri terkait pesta ulang tahun itu. Namun, Alfian belum membeberkan detail hasil pemeriksaan. ""Sudah, sudah (menghadap),"" terang Alfian. Disidang Kamis Lusa Sebelumnya, Juyy Putri juga telah dipanggil oleh pihak Satpol PP Kota Bekasi. Manajemen hotel juga telah diberi teguran terkait pesta ultah Juyy Putri itu. Baca juga: Buntut Pesta Ultah Saat PPKM, Seleb TikTok di Bekasi-EO Disidang Lusa ""Terkait dengan viralnya kegiatan tersebut, saya perintahkan Kabid Gakda untuk menegur manajemen (menyebut nama hotel) dan dia telah diberi peringatan,"" kata Kasatpol PP Kota Bekasi Abi Hurairah. Abi menambahkan pihaknya akan melakukan pengusutan lebih lanjut terkait dugaan pelanggaran PPKM yang dilakukan oleh Juyy Putri. Juyy Putri, pengelola hotel dan event organizer , akan disidang pada Kamis (29/7). Gelar Pesta Ultah Juyy Putri menggelar pesta ulang tahun ke-18 belum lama ini. Ulang tahunnya itu dirayakan dengan mengundang sejumlah teman di sebuah hotel bintang di Kota Bekasi. Berdasarkan video yang beredar, seleb TikTok Juyy Putri tampak mengenakan gaun warna pink . Dia terlihat masuk ke ballroom hotel yang sudah di -setting sebagai tempat pesta ulang tahun dengan tema pink . Baca juga: Viral Seleb TikTok Gelar Ultah Saat PPKM, Satpol PP Bekasi Tegur Hotel Terlihat sejumlah tamu undangan yang hadir. Juyy Putri dan beberapa di antaranya terlihat tidak memakai masker. (isa/mei) bekasi jawa barat tiktok seleb tiktok gelar pesta ultah ppkm pesta ulang tahun",Bekasi,https://news.detik.com/berita/d-5659215/seleb-tiktok-bekasi-juga-dipanggil-polisi-usai-viral-pesta-ultah-di-hotel
1,"Selasa, 27 Jul 2021 19:58 WIB",Luthfi Anshori - detikOto,"Selama Pandemi, Orang Lebih Banyak Jual Mobkas atau Beli Mobkas?","Jakarta - Pandemi virus Corona (COVID-19) yang sudah berlangsung di Indonesia lebih dari setahun telah menimbulkan krisis ekonomi. Dari sisi pasar mobil bekas atau mobkas , apakah banyak masyarakat yang menjual mobil pribadinya atau justru lebih banyak yang membeli mobkas? Terjadinya pandemi membuat kegiatan dan mobilitas manusia dibatasi. Sejak terjadinya pandemi pada awal-awal 2020 lalu, hingga hari ini, pemerintah telah melaksanakan sejumlah program pembatasan sosial untuk menekan penularan virus Corona, seperti PSBB (Pembatasan Sosial Berskala Besar) dan PPKM (Pemberlakuan Pembatasan Kegiatan Masyarakat). Baca juga: Jika PPKM Darurat Sampai 6 Minggu, Pedagang Mobkas BIsa Gulung Tikar Country Head Carsome Indonesia , Delly Nugraha, mengatakan bahwa dengan adanya program PSBB maupun PPKM, membuat industri penjualan mobil bekas cukup terdampak, karena banyak orang menahan membeli mobil atau menjual mobil. ""Kalau kita melihat selama pemberlakuanPPKM, apakah lebih banyak orang jual mobil bekas atau beli mobil bekas? Sebenarnya dampak di marketnya itu cukup mengena ke dua-duanya. Jadi dua-duanya sedang dalam kondisi tidak baik-baik saja,"" ungkap Delly, dalam konferensi pers secara virtual, Senin (27/7/2021). Menurut Delly, selama pemberlakuan pembatasan kegiatan masyarakat berlaku, banyak orang menahan membeli mobil di showroom-showroom mobkas . Selain karena alasan menuruti aturan pemerintah, mereka juga memang tidak ingin bertatap langsung dengan pembeli. Ilustrasi Dealer Mobil Bekas Bimmerhaus yang fokus menjual BMW bekas Foto: Muhammad Hafizh Gemilang ""Jadi misalkan kita lihat dari sudut pandang Carsome, orang yang pengin jual mobil itu kita melihat bahwa terjadi penurunan. Tapi penurunannya mungkin bukan karena mereka tidak mau, tapi karena mereka menahan dulu, karena untuk proses menjual mobil sendiri kan tidak semua orang nyaman dilakukan selama PPKM. Misalnya harus ketemu sama inspector kita, harus bertatap muka dengan orang yang mau beli. Ini diutarakan oleh customer-customer yang memang akhirnya mau ketemu kita, tetapi mereka kasih gambaran bahwa mereka awalnya ragu-ragu. Jadi memang berdampak,"" sambung Delly. Baca juga: Suara Penjual Mobkas soal Wacana Mobil di Atas 10 Tahun Tak Boleh Masuk Jakarta Kondisi serupa juga terjadi pada konsumen yang ingin membeli mobil bekas. Mereka juga menahan pembelian karena selama pandemi berlangsung lebih sering berada di rumah, sehingga membeli kendaraan baru tidak menjadi prioritas. ""Begitu pula juga bagi yang ingin beli mobil bekas. Selama PPKM orang juga cenderung menahan membeli mobil bekas, kenapa saya harus beli sekarang. Karena saya juga belum butuh, mobilisasi saya terbatas, saya kerja dari rumah, anak-anak juga sekolah dari rumah. Jadi ada yang niatnya membeli, akhirnya tertunda dulu. Ini tak hanya terjadi saat PPKM Darurat, tapi juga telah terjadi selama PSBB. Jadi ini sebenarnya fenomena yang berulang,"" tukasnya. (lua/lth) mobil bekas mobkas pandemi virus corona carsome indonesia psbb ppkm penjualan mobil bekas",Jakarta,https://oto.detik.com/mobil/d-5659211/selama-pandemi-orang-lebih-banyak-jual-mobkas-atau-beli-mobkas
2,"Selasa, 27 Jul 2021 19:51 WIB",Yudha Maulana - detikNews,"Temui Mahasiswa, Ridwan Kamil: Saya Tidak Masalah Dikritik","Bandung - Gubernur Jawa Barat Ridwan Kamil mengaku terbuka dalam menerima kritikan, khususnya terkait penanganan COVID-19. Asalkan koreksi itu disampaikan dengan sopan dan berbasis data. Pernyataan itu disampaikan pria yang akrab disapa Kang Emil itu, saat menggelar diskusi tentang PPKM bersama sejumlah elemen mahasiswa yang tergabung dalam Cipayung Plus secara virtual. ""Saya tidak masalah dikritik, yang penting sopan santun dalam memberikan kritik dan berbasis data,"" kata Emil, Selasa (27/7/2021). Baca juga: Geliat Vaksinasi di Antara Fosil Gajah Purba Kang Emil mengatakan, beberapa kritikan yang ditujukan kepada pemerintah kerap kali tidak berbasiskan data. Contohnya, saat pengkritik membandingkan kondisi dalam negeri dengan luar negeri yang bias fakta. ""Harus kayak Singapura buktinya Singapura sekarang lockdown . Dulu Vietnam dipuji-puji, sekarang Vietnam keteteran baru mau vaksin. Lihat Euro (sepakbola Piala Eropa), iri. Dengan situasi ini harus dipahami,"" ujarnya. Mahasiswa pun memberikan sejumlah pertanyaan kepada Kang Emil, salah satunya mengenai persentase vaksinasi di Jabar yang masih rendah. ""Kita harus tabayun kalau melihat angka-angka di media. (Vaksinasi) memang rendah, karena dikasihnya untuk 5 juta manusia. Kalau persentase, kami pasti kecil karena dibandingkannya dengan 50 juta manusia,"" tutur Emil. Selanjutnya Halaman 1 2 ridwan kamil mahasiswa mahasiswa bandung bandung birojabar",Bandung,https://news.detik.com/berita-jawa-barat/d-5659193/temui-mahasiswa-ridwan-kamil-saya-tidak-masalah-dikritik
3,"Selasa, 27 Jul 2021 19:39 WIB",Febriyantino Nur Pratama - detikHot,"Dituduh Selingkuh, Choky Andriano Akui Tak Izin Istri Saat Jumpa Intan Permata","Jakarta - Choky Andriano angkat bicara terkait tudingan selingkuh dengan Intan Permata . Bahkan istri Choky, Icha, disebut sampai pisah rumah dan melepas cincin kawinnya. Diklarifikasi Choky, dia saat ini berteman baik dengan Intan. Sehingga tudingan selingkuh dengan Intan, kata Choky, tak ada sama sekali. ""Sekarang ini sih jadi sama Intan itu sebenarnya berteman, nggak ada hubungan apa pun. Jadi perselingkuhan itu sebenarnya bohong, nggak ada itu,"" kata Choky Andriano di Kopi Viral Trans TV, Selasa (27/7/2021). ""Yang sekarang ini mah cuma teman saja, nggak ada hubungan serius. (Tidak ada hubungan spesial dengan Intan) Nggak ada,"" kata Choky kembali menegaskan. Sementara itu, tak dipungkiri dirinya pernah berjumpa dengan Intan. Bahkan pertemuan itu tak izin dengan Icha. Baca juga: Cium Wanita Lain, Choky Andriano Kini Minta Maaf dan Puji Istrinya ""(Waktu ketemu Intan izin nggak sama istri) Ya nggaklah,"" kata Choky. Meskipun sempat bertemu Intan tanpa sepengetahuan istri, Choky memastikan hubungannya dengan Intan hanya berteman saja. ""Kalau ketemu memang janjian, tapi kan reuni, itu pun sebelum PPKM itu sudah saya jelasin juga ke yang lain, ke media bahwa kita itu cuma teman, nggak ada hubungan yang lain,"" bebernya. Sementara itu, Choky mengaku pernah berpacaran dengan Intan. Menurutnya, perjalanan cintanya dengan Intan hanya sebentar saja. ""Sebentar, nggak sampai dua bulan dulu-dulu,"" pungkasnya. Baca juga: Isu Perselingkuhan Choky Andriano, Bintang Angling Dharma Kasus perselingkuhan Choky Andriano kembali merebak. Kabar itu diungkap oleh sang istri. Hal itu diketahui dari unggahan seorang selebgram bernama Intan Permata. Dalam foto, ia memperlihatkan dirinya tengah bermesraan dengan Choky Andriano. Choky Andriano tampak mencubit mesra pipi Intan Pertama. Lalu di foto lain, tampak bintang sinetron Angling Dharma itu hendak mencium Intan. Caption yang ditulis Intan Permata begitu romantis ke Choky Andriano. Ia mengaku tak mudah berada di posisinya saat ini, tapi dirinya benar-benar menyukai Choky. ""Mungkin bagi mereka yang tau posisi ku dan pernah merasakan rasa ini walaupun tidak mudah, pasti akan memberi semangat padaku untuk kuat. Sangat sedih sih tapi benar, untuk ku hanya ada dirimu,"" tulis Intan. (fbr/mau) choky andriano icha istri choky andriano intan permata intan permata selingkuh choky andriano selingkuh",Jakarta,https://hot.detik.com/celeb/d-5658567/dituduh-selingkuh-choky-andriano-akui-tak-izin-istri-saat-jumpa-intan-permata
4,"Selasa, 27 Jul 2021 19:36 WIB",Dwi Andayani - detikNews,"Buntut Pesta Ultah Saat PPKM, Seleb TikTok di Bekasi-EO Disidang Lusa","Bekasi - Satpol PP Kota Bekasi menindaklanjuti informasi yang viral terkait pesta ulang tahun seleb TikTok Juyy Putri yang digelar saat PPKM darurat. Seleb TikTok Juyy Putri hingga event organizer (EO) akan disidang terkait pelanggaran PPKM. Kasatpol PP Kota Bekasi Abi mengatakan pihaknya telah memanggil Juyy Putri dan pihak EO. ""Untuk EO dan seleb TikTok hari ini kami berikan panggilan untuk mengikuti sidang hari Kamis (29/7) lusa,"" kata Abi dalam keterangannya, Selasa (27/7/2021). Bukan hanya pihak EO dan Juyy Putri , Satpol PP Kota Bekasi juga mengagendakan sidang bagi manajemen hotel. Pihak manajemen hotel telah diberi peringatan terkait hal itu. ""Menegur manajemen hotel dan dia telah diberi peringatan untuk melaksanakan sidang pada hari Kamis bertempat di Bekasi Utara,"" tuturnya. Abi mengaku pihaknya belum mengetahui kapan pesta ulang tahun seleb TikTok itu digelar. Satpol PP Kota Bekasi juga belum mengetahui berapa jumlah tamu undangan yang hadir. ""Tanggalnya belum monitor,"" katanya. Baca juga: Viral Seleb TikTok Gelar Ultah Saat PPKM, Satpol PP Bekasi Tegur Hotel Viral di Medsos Video seleb TikTok Juyy Putri menggelar pesta ulang tahun saat PPKM viral di media sosial. Pesta ulang tahun ke-18 itu digelar di sebuah hotel di kawasan Kota Bekasi. Berdasarkan video yang beredar, seleb TikTok Juyy Putri tampak memakai gaun warna merah muda. Dia terlihat masuk ke dalam ballroom hotel yang sudah di- setting sebagai tempat pesta ulang tahun dengan tema serba- pink . Terlihat sejumlah tamu undangan yang hadir. Juyy Putri dan beberapa di antaranya terlihat tidak memakai masker. Baca juga: Pelat Mobil Langgar Aturan, Selebgram Herlin Kenza Bakal Disanksi Tilang (mea/fjp) seleb tiktok seleb tiktok juyy putri juyy putri ppkm darurat satpol pp kota bekasi bekasi",Bekasi,https://news.detik.com/berita/d-5659182/buntut-pesta-ultah-saat-ppkm-seleb-tiktok-di-bekasi-eo-disidang-lusa
5,"Selasa, 27 Jul 2021 20:04 WIB",Isal Mawardi - detikNews,Seleb TikTok Bekasi Juga Dipanggil Polisi Usai Viral Pesta Ultah di Hotel,"Bekasi - Seleb TikTok Juyy Putri harus berurusan dengan hukum usai menggelar pesta ulang tahun di sebuah hotel di Bekasi , Jawa Barat, saat pelaksanaan PPKM. Juyy Putri dipanggil polisi hari ini. ""Sudah, kita sudah panggil, sudah kita ambil langkah-langkah,"" ujar Wakapolres Metro Bekasi Kota AKBP Alfian Nurizzal kepada detikcom , Selasa (27/7/2021). Polisi masih memeriksa Juyy Putri terkait pesta ulang tahun itu. Namun, Alfian belum membeberkan detail hasil pemeriksaan. ""Sudah, sudah (menghadap),"" terang Alfian. Disidang Kamis Lusa Sebelumnya, Juyy Putri juga telah dipanggil oleh pihak Satpol PP Kota Bekasi. Manajemen hotel juga telah diberi teguran terkait pesta ultah Juyy Putri itu. Baca juga: Buntut Pesta Ultah Saat PPKM, Seleb TikTok di Bekasi-EO Disidang Lusa ""Terkait dengan viralnya kegiatan tersebut, saya perintahkan Kabid Gakda untuk menegur manajemen (menyebut nama hotel) dan dia telah diberi peringatan,"" kata Kasatpol PP Kota Bekasi Abi Hurairah. Abi menambahkan pihaknya akan melakukan pengusutan lebih lanjut terkait dugaan pelanggaran PPKM yang dilakukan oleh Juyy Putri. Juyy Putri, pengelola hotel dan event organizer , akan disidang pada Kamis (29/7). Gelar Pesta Ultah Juyy Putri menggelar pesta ulang tahun ke-18 belum lama ini. Ulang tahunnya itu dirayakan dengan mengundang sejumlah teman di sebuah hotel bintang di Kota Bekasi. Berdasarkan video yang beredar, seleb TikTok Juyy Putri tampak mengenakan gaun warna pink . Dia terlihat masuk ke ballroom hotel yang sudah di -setting sebagai tempat pesta ulang tahun dengan tema pink . Baca juga: Viral Seleb TikTok Gelar Ultah Saat PPKM, Satpol PP Bekasi Tegur Hotel Terlihat sejumlah tamu undangan yang hadir. Juyy Putri dan beberapa di antaranya terlihat tidak memakai masker. (isa/mei) bekasi jawa barat tiktok seleb tiktok gelar pesta ultah ppkm pesta ulang tahun",Bekasi,https://news.detik.com/berita/d-5659215/seleb-tiktok-bekasi-juga-dipanggil-polisi-usai-viral-pesta-ultah-di-hotel
6,"Selasa, 27 Jul 2021 19:58 WIB",Luthfi Anshori - detikOto,"Selama Pandemi, Orang Lebih Banyak Jual Mobkas atau Beli Mobkas?","Jakarta - Pandemi virus Corona (COVID-19) yang sudah berlangsung di Indonesia lebih dari setahun telah menimbulkan krisis ekonomi. Dari sisi pasar mobil bekas atau mobkas , apakah banyak masyarakat yang menjual mobil pribadinya atau justru lebih banyak yang membeli mobkas? Terjadinya pandemi membuat kegiatan dan mobilitas manusia dibatasi. Sejak terjadinya pandemi pada awal-awal 2020 lalu, hingga hari ini, pemerintah telah melaksanakan sejumlah program pembatasan sosial untuk menekan penularan virus Corona, seperti PSBB (Pembatasan Sosial Berskala Besar) dan PPKM (Pemberlakuan Pembatasan Kegiatan Masyarakat). Baca juga: Jika PPKM Darurat Sampai 6 Minggu, Pedagang Mobkas BIsa Gulung Tikar Country Head Carsome Indonesia , Delly Nugraha, mengatakan bahwa dengan adanya program PSBB maupun PPKM, membuat industri penjualan mobil bekas cukup terdampak, karena banyak orang menahan membeli mobil atau menjual mobil. ""Kalau kita melihat selama pemberlakuanPPKM, apakah lebih banyak orang jual mobil bekas atau beli mobil bekas? Sebenarnya dampak di marketnya itu cukup mengena ke dua-duanya. Jadi dua-duanya sedang dalam kondisi tidak baik-baik saja,"" ungkap Delly, dalam konferensi pers secara virtual, Senin (27/7/2021). Menurut Delly, selama pemberlakuan pembatasan kegiatan masyarakat berlaku, banyak orang menahan membeli mobil di showroom-showroom mobkas . Selain karena alasan menuruti aturan pemerintah, mereka juga memang tidak ingin bertatap langsung dengan pembeli. Ilustrasi Dealer Mobil Bekas Bimmerhaus yang fokus menjual BMW bekas Foto: Muhammad Hafizh Gemilang ""Jadi misalkan kita lihat dari sudut pandang Carsome, orang yang pengin jual mobil itu kita melihat bahwa terjadi penurunan. Tapi penurunannya mungkin bukan karena mereka tidak mau, tapi karena mereka menahan dulu, karena untuk proses menjual mobil sendiri kan tidak semua orang nyaman dilakukan selama PPKM. Misalnya harus ketemu sama inspector kita, harus bertatap muka dengan orang yang mau beli. Ini diutarakan oleh customer-customer yang memang akhirnya mau ketemu kita, tetapi mereka kasih gambaran bahwa mereka awalnya ragu-ragu. Jadi memang berdampak,"" sambung Delly. Baca juga: Suara Penjual Mobkas soal Wacana Mobil di Atas 10 Tahun Tak Boleh Masuk Jakarta Kondisi serupa juga terjadi pada konsumen yang ingin membeli mobil bekas. Mereka juga menahan pembelian karena selama pandemi berlangsung lebih sering berada di rumah, sehingga membeli kendaraan baru tidak menjadi prioritas. ""Begitu pula juga bagi yang ingin beli mobil bekas. Selama PPKM orang juga cenderung menahan membeli mobil bekas, kenapa saya harus beli sekarang. Karena saya juga belum butuh, mobilisasi saya terbatas, saya kerja dari rumah, anak-anak juga sekolah dari rumah. Jadi ada yang niatnya membeli, akhirnya tertunda dulu. Ini tak hanya terjadi saat PPKM Darurat, tapi juga telah terjadi selama PSBB. Jadi ini sebenarnya fenomena yang berulang,"" tukasnya. (lua/lth) mobil bekas mobkas pandemi virus corona carsome indonesia psbb ppkm penjualan mobil bekas",Jakarta,https://oto.detik.com/mobil/d-5659211/selama-pandemi-orang-lebih-banyak-jual-mobkas-atau-beli-mobkas
7,"Selasa, 27 Jul 2021 19:51 WIB",Yudha Maulana - detikNews,"Temui Mahasiswa, Ridwan Kamil: Saya Tidak Masalah Dikritik","Bandung - Gubernur Jawa Barat Ridwan Kamil mengaku terbuka dalam menerima kritikan, khususnya terkait penanganan COVID-19. Asalkan koreksi itu disampaikan dengan sopan dan berbasis data. Pernyataan itu disampaikan pria yang akrab disapa Kang Emil itu, saat menggelar diskusi tentang PPKM bersama sejumlah elemen mahasiswa yang tergabung dalam Cipayung Plus secara virtual. ""Saya tidak masalah dikritik, yang penting sopan santun dalam memberikan kritik dan berbasis data,"" kata Emil, Selasa (27/7/2021). Baca juga: Geliat Vaksinasi di Antara Fosil Gajah Purba Kang Emil mengatakan, beberapa kritikan yang ditujukan kepada pemerintah kerap kali tidak berbasiskan data. Contohnya, saat pengkritik membandingkan kondisi dalam negeri dengan luar negeri yang bias fakta. ""Harus kayak Singapura buktinya Singapura sekarang lockdown . Dulu Vietnam dipuji-puji, sekarang Vietnam keteteran baru mau vaksin. Lihat Euro (sepakbola Piala Eropa), iri. Dengan situasi ini harus dipahami,"" ujarnya. Mahasiswa pun memberikan sejumlah pertanyaan kepada Kang Emil, salah satunya mengenai persentase vaksinasi di Jabar yang masih rendah. ""Kita harus tabayun kalau melihat angka-angka di media. (Vaksinasi) memang rendah, karena dikasihnya untuk 5 juta manusia. Kalau persentase, kami pasti kecil karena dibandingkannya dengan 50 juta manusia,"" tutur Emil. Selanjutnya Halaman 1 2 ridwan kamil mahasiswa mahasiswa bandung bandung birojabar",Bandung,https://news.detik.com/berita-jawa-barat/d-5659193/temui-mahasiswa-ridwan-kamil-saya-tidak-masalah-dikritik
8,"Selasa, 27 Jul 2021 19:39 WIB",Febriyantino Nur Pratama - detikHot,"Dituduh Selingkuh, Choky Andriano Akui Tak Izin Istri Saat Jumpa Intan Permata","Jakarta - Choky Andriano angkat bicara terkait tudingan selingkuh dengan Intan Permata . Bahkan istri Choky, Icha, disebut sampai pisah rumah dan melepas cincin kawinnya. Diklarifikasi Choky, dia saat ini berteman baik dengan Intan. Sehingga tudingan selingkuh dengan Intan, kata Choky, tak ada sama sekali. ""Sekarang ini sih jadi sama Intan itu sebenarnya berteman, nggak ada hubungan apa pun. Jadi perselingkuhan itu sebenarnya bohong, nggak ada itu,"" kata Choky Andriano di Kopi Viral Trans TV, Selasa (27/7/2021). ""Yang sekarang ini mah cuma teman saja, nggak ada hubungan serius. (Tidak ada hubungan spesial dengan Intan) Nggak ada,"" kata Choky kembali menegaskan. Sementara itu, tak dipungkiri dirinya pernah berjumpa dengan Intan. Bahkan pertemuan itu tak izin dengan Icha. Baca juga: Cium Wanita Lain, Choky Andriano Kini Minta Maaf dan Puji Istrinya ""(Waktu ketemu Intan izin nggak sama istri) Ya nggaklah,"" kata Choky. Meskipun sempat bertemu Intan tanpa sepengetahuan istri, Choky memastikan hubungannya dengan Intan hanya berteman saja. ""Kalau ketemu memang janjian, tapi kan reuni, itu pun sebelum PPKM itu sudah saya jelasin juga ke yang lain, ke media bahwa kita itu cuma teman, nggak ada hubungan yang lain,"" bebernya. Sementara itu, Choky mengaku pernah berpacaran dengan Intan. Menurutnya, perjalanan cintanya dengan Intan hanya sebentar saja. ""Sebentar, nggak sampai dua bulan dulu-dulu,"" pungkasnya. Baca juga: Isu Perselingkuhan Choky Andriano, Bintang Angling Dharma Kasus perselingkuhan Choky Andriano kembali merebak. Kabar itu diungkap oleh sang istri. Hal itu diketahui dari unggahan seorang selebgram bernama Intan Permata. Dalam foto, ia memperlihatkan dirinya tengah bermesraan dengan Choky Andriano. Choky Andriano tampak mencubit mesra pipi Intan Pertama. Lalu di foto lain, tampak bintang sinetron Angling Dharma itu hendak mencium Intan. Caption yang ditulis Intan Permata begitu romantis ke Choky Andriano. Ia mengaku tak mudah berada di posisinya saat ini, tapi dirinya benar-benar menyukai Choky. ""Mungkin bagi mereka yang tau posisi ku dan pernah merasakan rasa ini walaupun tidak mudah, pasti akan memberi semangat padaku untuk kuat. Sangat sedih sih tapi benar, untuk ku hanya ada dirimu,"" tulis Intan. (fbr/mau) choky andriano icha istri choky andriano intan permata intan permata selingkuh choky andriano selingkuh",Jakarta,https://hot.detik.com/celeb/d-5658567/dituduh-selingkuh-choky-andriano-akui-tak-izin-istri-saat-jumpa-intan-permata
9,"Selasa, 27 Jul 2021 19:36 WIB",Dwi Andayani - detikNews,"Buntut Pesta Ultah Saat PPKM, Seleb TikTok di Bekasi-EO Disidang Lusa","Bekasi - Satpol PP Kota Bekasi menindaklanjuti informasi yang viral terkait pesta ulang tahun seleb TikTok Juyy Putri yang digelar saat PPKM darurat. Seleb TikTok Juyy Putri hingga event organizer (EO) akan disidang terkait pelanggaran PPKM. Kasatpol PP Kota Bekasi Abi mengatakan pihaknya telah memanggil Juyy Putri dan pihak EO. ""Untuk EO dan seleb TikTok hari ini kami berikan panggilan untuk mengikuti sidang hari Kamis (29/7) lusa,"" kata Abi dalam keterangannya, Selasa (27/7/2021). Bukan hanya pihak EO dan Juyy Putri , Satpol PP Kota Bekasi juga mengagendakan sidang bagi manajemen hotel. Pihak manajemen hotel telah diberi peringatan terkait hal itu. ""Menegur manajemen hotel dan dia telah diberi peringatan untuk melaksanakan sidang pada hari Kamis bertempat di Bekasi Utara,"" tuturnya. Abi mengaku pihaknya belum mengetahui kapan pesta ulang tahun seleb TikTok itu digelar. Satpol PP Kota Bekasi juga belum mengetahui berapa jumlah tamu undangan yang hadir. ""Tanggalnya belum monitor,"" katanya. Baca juga: Viral Seleb TikTok Gelar Ultah Saat PPKM, Satpol PP Bekasi Tegur Hotel Viral di Medsos Video seleb TikTok Juyy Putri menggelar pesta ulang tahun saat PPKM viral di media sosial. Pesta ulang tahun ke-18 itu digelar di sebuah hotel di kawasan Kota Bekasi. Berdasarkan video yang beredar, seleb TikTok Juyy Putri tampak memakai gaun warna merah muda. Dia terlihat masuk ke dalam ballroom hotel yang sudah di- setting sebagai tempat pesta ulang tahun dengan tema serba- pink . Terlihat sejumlah tamu undangan yang hadir. Juyy Putri dan beberapa di antaranya terlihat tidak memakai masker. Baca juga: Pelat Mobil Langgar Aturan, Selebgram Herlin Kenza Bakal Disanksi Tilang (mea/fjp) seleb tiktok seleb tiktok juyy putri juyy putri ppkm darurat satpol pp kota bekasi bekasi",Bekasi,https://news.detik.com/berita/d-5659182/buntut-pesta-ultah-saat-ppkm-seleb-tiktok-di-bekasi-eo-disidang-lusa
