,tanggal,penulis,judul,isi berita,lokasi,link berita
0,"Kamis, 05 Agu 2021 22:05 WIB",Tim detikcom - detikHot,Aksi Dinar Candy Berbikini di Jalan Berujung Tersangka Kasus Pornografi,"Jakarta - Siapa sih yang nggak kenal dengan Dinar Candy? Bukan hanya sebagai seorang DJ, Dinar Candy juga dikenal sebagai penyanyi dangdut. Setiap kegiatan yang dilakukannya selalu mendapatkan sorotan tajam dari banyak orang. Seperti menjual celana dalam bekasnya dan yang saat ini ramai diperbincangkan adalah berbikini di jalanan. Bukan tanpa alasan Dinar Candy melakukan hal tersebut. Ia mengaku stres karena PPKM yang diperpanjang. Dinar Candy mengatakan jika dirinya kesulitan untuk melakukan kegiatan. Baca juga: Ini yang Menyebabkan Dinar Candy Jadi Tersangka Pornografi Semula aksi berbikini di jalan raya itu ditumpahkan Dinar Candy dalam Instagram miliknya. Kala itu ia sempat mencolek Jokowi, menanyakan soal PPKM diperpanjang atau tidak. Ternyata banyak yang meminta aksinya direalisasikan. Dinar Candy pun mengaku tidak takut. Ia sempat berujar bakal merealisasikan apa yang ditulisnya itu. Dan benar saja, Dinar Candy merealisasikan hal tersebut. Dengan menggunakan bikini berwarna pink, Dinar Candy melakukan aksinya itu. Ia pun sempat mengunggah tiga postingan di Instagram miliknya. Dua foto dan satu video. ""Saya stres karena PPKM diperpanjang,"" begitu tulis papan yang dibawa Dinar Candy. Baca juga: Gugat Cerai Tyas Mirasih, Raiden Soedjono Bicara Cobaan Calon Duda Keren ""warning !! jangan tiru adegan ini !! aku lagi cari pelampiasan lagi stres,"" tulis Dinar Candy dalam unggahan di Instagram miliknya. Tapi sayang lantaran aksinya itu, Dinar Candy saat ini menjalani pemeriksaan di kantor polisi. Bahkan Dinar Candy saat ini sudah dilaporkan oleh LBH SEMMI. Dinar Candy dilaporkan atas dugaan pelanggaran UU Pornografi. ""Melaporkan public figure Dinar Candy terkait peristiwa kemarin dia posting di IG berpakaian bikini di trotoar jalan bahwa dia stres karena PPKM diperpanjang,"" jelas Gurun Arisastra selaku Direktur Eksekutif LBH SEMMI kepada wartawan di Polda Metro Jaya, Jakarta, Kamis (5/8/2021). Dinar Candy Minta Aksinya Tidak Ditiru di halaman selanjutnya. Selanjutnya Halaman 1 2 Simak Video "" Meski Jadi Tersangka, Dinar Candy Tak Ditahan Polisi "" [Gambas:Video 20detik] dinar candy dinar candy tersangka dinar candy tersangka kasus pornografi dinar candy tersangka kasus uu ite dinar candy tersangka pornografi dinar candy berbikini",Jakarta,https://hot.detik.com/celeb/d-5671431/aksi-dinar-candy-berbikini-di-jalan-berujung-tersangka-kasus-pornografi
1,"Kamis, 05 Agu 2021 21:57 WIB",Tiara Aliya Azzahra - detikNews,Kata Disdik DKI soal Sanksi Sekolah Jakarta Jika Kedapatan Buka Saat PPKM,"Jakarta - Pemprov DKI Jakarta berbicara soal sanksi bagi sekolah yang nekat buka di masa pemberlakuan pembatasan kegiatan masyarakat (PPKM). Plt Wakil Kepala Dinas Pendidikan DKI Jakarta, Slamet mengatakan prinsipnya, penerapan sanksi harus memerhatikan kondisi di lapangan. ""Ketiga, apa sanksi bagi sekolah langgar PPKM? Kita juga perhatikan berbagai macam hal terkait PPKM Darurat,"" kata Slamet dalam diskusi virtual, Kamis (5/8/2021). Baca juga: Mengemuka Modus Siswa Tak Berseragam Demi Sekolah Gelar Tatap Muka Slamet menegaskan sekolah di Jakarta ditutup di masa perpanjangan PPKM Level 4. Sehingga, kegiatan belajar mengajar pun dilakukan secara daring. ""Untuk teknis buka sekolah kita menunggu kebijakan setelah dianggap memungkinkan. Sampai saat ini, kita belum buka sekolah yang ada,"" jelasnya. Slamet pun mengakui pihaknya menerima aduan pembukaan sekolah sepanjang masa PPKM darurat maupun PPKM Level 4 di Jakarta. Setelah ditelusuri, Disdik DKI memang menemui adanya siswa dan guru yang masih ke sekolah namun dengan tujuan lain. ""Tapi konfirmasi kita ke sekolah ada sebagian memang guru-guru melakukan rapat koordinasi kemudian anak datang ke sekolah ternyata ada kepentingan yang lain,"" sebutnya. Baca juga: PAUD di Cipayung Gelar Tatap Muka, Wagub DKI Tegaskan PTM Masih Dilarang Atas hal ini, Disdik DKI akan menggencarkan pengawasan serta monitoring kepada sekolah-sekolah. Pengawasan, sebutnya, akan dilakukan bersama aparat setempat. ""Kami juga lakukan kerja sama dengan aparat-aparat DKI. Kami punya Satpol PP, kami punya kelurahan, dewan kelurahan, kami punya dewan pendidikan,"" imbuhnya. Sebelumnya diberitakan, Pemprov DKI Jakarta selesai menelusuri aduan dari LaporCovid-19 tentang adanya sekolah di Ibu Kota yang menggelar pembelajaran tatap muka (PTM) di tengah situasi PPKM level 4. Kasubag Humas Dinas Pendidikan DKI Jakarta Taga Radja Gah menegaskan, dari lima laporan yang masuk, hanya satu sekolah yang terbukti melaksanakan kegiatan tatap muka. ""Setelah saya cross-check dengan berbagai sumber, jadi lima sekolah yang diadukan, satu yang benar melaksanakan tatap muka. Itu pun Raudhatul Athfal Al Firdaus, setingkat TK,"" kata Taga saat dihubungi, Rabu (4/8/2021). Taga menyampaikan sekolah yang melakukan PTM berlokasi di Cipayung, Jakarta Timur. Di sisi lain, dia mengatakan empat sekolah lainnya hanya menggelar rapat dewan guru yang dilaksanakan tatap muka. (gbr/gbr) sekolah sekolah tatap muka disdik dki pemprov dki covid-19 ppkm ppkm level 4",Jakarta,https://news.detik.com/berita/d-5671525/kata-disdik-dki-soal-sanksi-sekolah-jakarta-jika-kedapatan-buka-saat-ppkm
2,"Kamis, 05 Agu 2021 21:57 WIB",Tim detikcom - detikNews,Jabar Banten Hari Ini: Hiii 2 Ular Ngumpet di Toilet-Beras Bantuan Menggumpal Seperti Batu,"Bandung - Ular yang ngumpet dalam kloset rumah sontak membuat geger warga Jalan Sayuran Kota Bandung. Hiii...Bukan cuma satu, tapi dua ekor. Sementara di Pandeglang, beras yang diterima warga terdampak pandemi bikin miris. Tidak layak dimakan. Beras berwarna kusam dań menggumpal seperti batu. Dua peristiwa itu menjadi dua berita di Jabar Bante yang menarik perhatian pembaca. Selain itu, seperti biasa kami pilihkan tiga berita menarik yang menarik hari ini, Kamis (5/8/2021). Berikut lima berita hari Ini yang layak anda baca: Dua Ular Sanca Ngumpet di Kloset Rumah Warga Tim Animal Rescue Dinas Kebakaran dan Penanggulangan Bencana (Diskar PB) Kota Bandung mengevakuasi dua ular sanca yang ngumpet di kloset rumah milik warga, Jalan Sayuran, Kota Bandung. ""Dua ekor ular sanca kembang, panjang sekitar empat meter dan diameter sekitar 25 sentimeter berhasil dievakuasi,"" kata Kadiskar PB Kota Bandung Dadang Iriadi dalam keterangan tertulis yang diterima detikcom, Kamis (5/8/2021). Insiden itu terjadi kumarin. Petugas Damkar ke lokasi setelah mendapat laporan dari pemilik rumah. Dengan peralatan khusus, petugas membongkar kloset duduk di dalam rumah untuk menyelamatkan dua sanca tersebut. ""Petugas langsung menangkap ular yang bersembunyi di dalam toilet. Ular ditangkap menggunakan snake hook. Penanganan usai pada pukul 13.15 WIB, waktu penanganan 4 jam 45 menit. Tidak ada korban dalam kejadian ini,"" ujarDadang sambil menambahkan dua sanca kembang itu dibawa ke markasDiskar PB Kota Bandung, JalanSukabumi. Selanjutnya Halaman 1 2 3 4 5 bandung jabar banten hari ini birojabar",Bandung,https://news.detik.com/berita-jawa-barat/d-5671524/jabar-banten-hari-ini-hiii-2-ular-ngumpet-di-toilet-beras-bantuan-menggumpal-seperti-batu
3,"Kamis, 05 Agu 2021 21:50 WIB",Tim detikcom - detikNews,"Minta Maaf, Ini Penjelasan Bulog soal Beras 'Batu' di Pandeglang","Pandeglang - Perum BULOG angkat bicara mengenai beras 'batu' yang dibagikan ke warga di Pandeglang, Banten. Bulog meminta maaf terkait peristiwa itu. ""Kami juga memohon maaf kalau sempat muncul kekhawatiran warga,"" ujar Kabag Humas Perum BULOG Tomi Wijaya dalam keterangannya, Kamis (5/8/2021). Bulog memastikan akan mengganti seluruh beras yang menggumpal itu dengan beras berkualitas baik. Seluruh beras yang sudah didistribusikan ke kantor kelurahan Pandeglang juga ditarik dan akan digantikan dengan yang baru. Baca juga: Beras 'Batu' Dibagikan ke Warga Pandeglang, Ini Respons Bulog ""Begitu ada informasi beras yang menggumpal, kami segera melakukan pengecekan dan memutuskan menarik dan menggantinya hari itu juga, sekaligus memastikan bahwa pengiriman beras bantuan PPKM tetap harus berjalan lancar, dan sampai ke tangan warga penerima dengan kondisi baik,"" kata Tomi. Tomi menjelaskan beras menggumpal itu diduga karena terkena air hujan saat pendistribusian pada Selasa (3/8). Ada sekitar 10 karung beras yang terkena hujan. ""Sesuai hasil penelusuran dan laporan yang kami terima, beras pengganti langsung didatangkan dari gudang BULOG. Sedangkan beras bantuan PPKM lainnnya sudah diterima dengan baik oleh warga. Manajemen BULOG sendiri sudah mengaktifkan peran tim monitoring dan evaluasi yang memang sengaja dibentuk untuk menyelesaikan hal-hal seperti ini,"" terangnya. Baca juga: Dinsos Pandeglang Ngaku Tak Dilibatkan soal Distribusi Beras 'Batu' Sebelumnya, warga Pandeglang, Banten, dihebohkan dengan temuan beras yang kondisinya sudah menggumpal seperti batu. Beras bansos tersebut untuk warga yang terdampak PPKM. Beras terbungkus karung bertuliskan 'Bantuan Beras PPKM 2021' ini dibagikan kepada warga di Kelurahan Pandeglang, Selasa (3/8). Saat karung dibuka, kondisi beras itu sudah kuning dan penuh gumpalan yang mengeras seperti batu. (isa/gbr) bulog pandeglang beras beras menggumpal beras batu",Pandeglang,https://news.detik.com/berita/d-5671520/minta-maaf-ini-penjelasan-bulog-soal-beras-batu-di-pandeglang
4,"Kamis, 05 Agu 2021 21:41 WIB",Tim detikcom - detikHot,"Jadi Tersangka, Dinar Candy Pesan Jangan Tiru Aksi Berbikini di Jalan","Jakarta - Dinar Candy sebelum melakukan aksi berbikini di jalan raya sempat mengatakan apa yang dilakukannya bukan untuk ditiru. Kepada detikcom, Dinar Candy mengatakan hal tersebut. ""Tapi perlu digaris bawahi ya itu aku nggak ngajak siapa pun, just for my self. Aku stres makanya bakalan gitu yang lain jangan ikutan,"" ungkap Dinar Candy kepada detikcom, Senin (3/8/2021). Menurut Dinar Candy, dirinya sangat mendukung apa yang diputuskan pemerintah. Tapi, ia mengakui jika stres saat mengetahui PPKM diperpanjang. Baca juga: Gugat Cerai Tyas Mirasih, Raiden Soedjono Bicara Cobaan Calon Duda Keren ""Aku mendukung kerja pemerintah tapi PPKM diperpanjang aku kecewa,"" terangnya lagi. Sebelumnya, Dinar Candy merealisasikan apa yang pernah dikatakan di Instagram miliknya. Dinar Candy sempat mengatakan bakal turun ke jalan dengan menggunakan bikini karena stres PPKM diperpanjang. Dalam tiga postingan dirinya mengenakan bikini pink, Dinar Candy pun menegaskan apa yang dilakukannya itu jangan ditiru orang lain. Postingan itu kemudian sudah dihapus oleh Dinar Candy. ""Saya stres karena PPKM diperpanjang,"" begitu tulis papan yang dibawa Dinar Candy. Baca juga: Satroni Rumah Kartika Damayanti saat PPKM, Ini Jawaban Ibu Ayu Ting Ting ""warning !! jangan tiru adegan ini !! aku lagi cari pelampiasan lagi stres,"" tulis Dinar Candy dalam unggahan di Instagram miliknya. Kini, Dinar Candy juga resmi dilaporkan oleh LBH SEMMI. Dinar Candy dilaporkan atas dugaan pelanggaran UU Pornografi. ""Melaporkan public figure Dinar Candy terkait peristiwa kemarin dia posting di IG berpakaian bikini di trotoar jalan bahwa dia stres karena PPKM diperpanjang,"" jelas Gurun Arisastra selaku Direktur Eksekutif LBH SEMMI kepada wartawan di Polda Metro Jaya, Jakarta, Kamis (5/8/2021). Baca juga: Ngaku Pacaran, Ini Potret Mesranya Agnez Mo dengan Adam Rosyadi Laporan Guruh diterima dengan nomor laporan polisi STLP/B/3.756/VIII/2021/SPKT/POLMA METRO JAYA tertanggal 5 Agustus 2021. Dinar Candy dilaporkan terkait dugaan pelanggaran UU No 44 Tahu 2008 tentang Pornografi. ""Laporan sudah diterima oleh SPKT Polda Metro Jaya dan saya sekarang akan ke Polres Jaksel untuk di-BAP,"" ungkapnya lagi. Kini status Dinar Candy sudah ditetapkan menjadi tersangka kasus pornografi. Simak Video "" Polisi Dalami Motif Dinar Candy Beraksi Bikini di Pinggir Jalan "" [Gambas:Video 20detik] (wes/pus) dinar candy dinar candy dijemput polisi dinar candy berbikini dinar candy berbikini di jalan dinar candy berbikini di jalanan",Jakarta,https://hot.detik.com/celeb/d-5671282/jadi-tersangka-dinar-candy-pesan-jangan-tiru-aksi-berbikini-di-jalan
5,"Kamis, 05 Agu 2021 21:25 WIB",Danu Damarjati - detikNews,HMI Muis Akan Demo Jokowi di Depan Istana Merdeka Besok Siang,"Jakarta - PB HMI pimpinan Abdul Muis Amiruddin bakal menggelar demonstrasi di depan Istana Merdeka, Jakarta. Mereka akan mulai berdemonstrasi selepas tengah hari. ""Besok jadi aksi, lokasi dipusatkan di Istana,"" kata Pejabat (Pj) Ketua Umum PB HMI Abdul Muis Amiruddin kepada wartawan, Kamis (5/8/2021). Baca juga: Anggap Penanganan COVID Gagal, HMI Pimpinan Muis Bakal Demo Jokowi Ketua Bidang Perguruan Tinggi Kemahasiswaan dan Pemuda PB HMI pimpinan Abdul Muis Amiruddin, Rich Hilman Bimantika, menambahkan keterangan. Demonstrasi di Istana Negara akan dimulai dengan konvoi dari Sekretariat PB HMI, Jl Sultan Agung, Jakarta Selatan. ""Unjuk rasa kita start dari jam 13.30 WIB menuju Istana Merdeka dengan konvoi. Total peserta aksi belum bisa kami pastikan, baru akan dikalkulasi di lapangan,"" kata Hilman. Baca juga: Kubu Muis Demo Jokowi, HMI Raihan Instruksikan Pengurus Tetap Solid Untuk demonstrasi HMI di luar Jakarta, dia menyatakan aksi bakal digelar di daerah masing-masing, tidak perlu datang ke Jakarta. Sebagaimana diketahui, rencana demonstrasi di masa PPKM Level 4 ini disorot publik lewat viralnya surat Instruksi PB HMI Nomor 144/A/Sek/12/1442. Instruksi itu dibantah oleh HMI kubu Ketua Umum Raihan Ariatama. Baca juga: Jubir Luhut Tanggapi Demo Jokowi: Ikuti Saja Ketum HMI yang Sah! Dalam surat instruksi tersebut, HMI kubu Muis menyatakan bahwa jelang dua tahun kepemimpinan Jokowi-Ma'ruf Amin yang disambut krisis akibat COVID-19, pemerintahan Jokowi telah gagal dalam pemenuhan hak-hak warga Indonesia. Mereka menyerukan aksi #AgustusMerdeka, isinya adalah kajian persoalan bangsa akibat kegagalan Jokowi-Ma'ruf, serta melakukan unjuk rasa serentak tanggal 6, 13, dan puncaknya pada 16 Agustus 2021. Belakangan, ada pula tagar #JokowiGameOver selain #AgustusMerdeka. Soal demonstrasi, Muis sendiri sudah berjanji HMI akan menjaga protokol kesehatan pencegahan COVID-19. ""Tentu yang pertama tetap menaati protokol kesehatan,"" kata Muis, Rabu (4/8) kemarin. Baca juga: Soal Demo Jokowi, Ngabalin Minta HMI Tak Nyinyir Seperti Rocky Gerung Halaman selanjutnya: Apa yang mereka kritik? Simak juga 'Mahfud: Demo 'Jokowi End Game' Tidak Ada, Provokatornya Kita Temui': [Gambas:Video 20detik] Selanjutnya Halaman 1 2 hmi muis abdul muis amiruddin hmi demo hmi demo jokowi demonstrasi unjuk rasa suara mahasiswa detikcom",Jakarta,https://news.detik.com/berita/d-5671501/hmi-muis-akan-demo-jokowi-di-depan-istana-merdeka-besok-siang
6,"Kamis, 05 Agu 2021 21:09 WIB",Faiq Azmi - detikNews,Khofifah Sebut Tingkat Keterisian Bed Isolasi dan ICU di Jatim Menurun,"Surabaya - Bed occupancy ratio (BOR) isolasi COVID-19 di rumah sakit rujukan seluruh Jawa Timur mulai menurun. Gubernur Jatim Khofifah Indar Parawansa menyebut, angkanya sudah di bawah 80 persen. ""Perlahan tapi pasti, angka keterisian tempat tidur alias bed occupancy ratio (BOR) di Jawa Timur terus menurun,"" ujar Khofifah dalam akun instagramnya @khofifah.ip, Kamis (5/8/2021). Khofifah menjelaskan kondisi BOR COVID-19 di Jatim per-4 Agustus sebanyak 67 persen. Jumlah bed isolasi COVID-19 di Jatim sebanyak 17.659. Baca juga: PPKM Level 3-4 Diperpanjang, Khofifah: Alhamdulilah Kasus Melandai Sedangkan untuk BOR ICU COVID-19 di RS rujukan seluruh Jatim, Khofifah menyebut, angka keterisiannya saat ini sebanyak 78 persen. Jumlah bed ICU COVID-19 di Jatim sebanyak 1.530. ""BOR RS Darurat COVID-19 tercatat 55 persen dan isolasi di rumah observasi atau isoter (isolasi terpusat) 44 persen,"" ungkap Mantan Menteri Sosial ini. Angka BOR Jatim sebelum di awal masa PPKM darurat 3 Juli 2021 lalu, sempat mencapai 82 persen. Baik untuk BOR isolasi serta ICU COVID-19. Baca juga: Kasus COVID-19 di Jatim Disebut Menurun Selama PPKM Level 3-4 25 Juli-2 Agustus Khofifah juga terus mengingatkan kepada seluruh warga Jatim agar terus disiplin protokol kesehatan, guna menekan penyebaran COVID-19 . ""Angka ini bisa terus menurun. Syaratnya, tetap disiplin protokol kesehatan dan segera vaksinasi. Dengan begitu, kegiatan belajar tatap muka bertahap bisa segera dilaksanakan, dunia wisata dan transportasi bisa beroperasi kembali, seniman dan budayawan dapat kembali berkarya serta kegiatan keagamaan berjalan seperti semula. Insyaallah Jatim bisa,"" tandas Khofifah. (iwd/iwd) bor bor isolasi bor icu gubernur khofifah covid-19 covid-19 di jatim birojatim",Surabaya,https://news.detik.com/berita-jawa-timur/d-5671454/khofifah-sebut-tingkat-keterisian-bed-isolasi-dan-icu-di-jatim-menurun
7,"Kamis, 05 Agu 2021 20:56 WIB",Ardian Fanani - detikNews,Ini Janji Pemkab Banyuwangi Usai Pelaku Seni dan Musisi Gelar Aksi,"Banyuwangi - Pemkab Banyuwangi meminta musisi dan seniman bersabar soal pelarangan pentas seni selama PPKM . Sebab itu dilakukan untuk mencegah penularan COVID-19. Kepala Dinas Kebudayaan dan Pariwisata Banyuwangi Mohamad Yanuarto Bramuda mengatakan, pihaknya sangat memahami keluh kesah para seniman dan musisi Banyuwangi, yang menggelar aksi damai di depan kantor Pemkab Banyuwangi. ""Tentu kami sangat memahami keluh kesah para seniman dan musisi yang tidak bisa mentas di masa PPKM ini. Karena memang aturan PPKM tidak memperbolehkan adanya kegiatan keramaian,"" ujarnya kepada wartawan, Kamis (5/8/2021). Sebelumnya, kata pria yang akrab dipanggil Bram ini mengatakan, pihaknya sudah bertemu dengan para seniman dan musisi di Banyuwangi. Mereka membicarakan tentang kondisi saat ini, karena mereka tak bisa manggung karena aturan PPKM. Baca juga: Pelaku Seni-Musisi Banyuwangi Gelar Aksi Damai Tak Bisa Manggung Saat PPKM ""Karena belum puas mungkin akhirnya mereka menggelar aksi damai. Tapi pesan kami, kami minta untuk lebih selektif jika mendengar informasi ada aksi, jangan sampai merugikan orang lain dan diri sendiri. Karena penularan COVID-19 bisa di mana saja. Termasuk ada kerumunan,"" tambahnya. Pihaknya sudah memberikan beberapa opsi untuk mengatasi pelarangan pentas seni. Yakni opsi jangka pendek dan jangka panjang. Untuk jangka pendek, Pemkab Banyuwangi melalui Dinas Kebudayaan dan Pariwisata memberikan bantuan sosial kepada pelaku seni. Sementara untuk jangka panjang, yakni secara bergilir seniman dan musisi akan tampil di aktualisasi seni yang digelar Pemkab Banyuwangi. ""Yang pertama jangka pendek ya bantuan sosial yang kami gelontorkan. Sementara jangka panjang ada aktualisasi seni ya. Tapi selama PPKM ini masih belum bisa kita lakukan karena menimbulkan keramaian. Setelah status kita reda dari level 4 bisa turun pasti akan kita gelar lagi,"" pungkasnya. Baca juga: Pemkab Banyuwangi Gandeng Kampus Tangani Pandemi COVID-19 Sebelumnya diberitakan, puluhan pelaku seni di Banyuwangi melakukan aksi damai di depan kantor Pemkab setempat. Mereka mempertanyakan nasib mereka yang tak kunjung mendapatkan izin untuk manggung. Para pelaku seni ini ingin pemerintah memberikan solusi agar mereka kembali bisa manggung. Aksi damai ini digelar oleh pelaku seni mulai dari seniman tradisional, musisi , hingga penyanyi. Aksi unjuk rasa seniman ini berawal dari meme yang beredar luas di media sosial. Meme tersebut mengajak seniman modern dan tradisional, MC, penyanyi, musisi, tukang sound, tukang tarub, tukang rias, tukang kuwade, tukang shooting, tukang foto manten dan PKL untuk turun ke jalan pada 5 Agustus 2021. Tujuannya meminta hak dan kepastian perekonomian. Aksi ini sempat dikabarkan urung dilaksanakan. Namun seniman yang sudah terlanjur datang di depan kantor Bupati Banyuwangi tetap melaksanakan aksi secara damai. Mereka meminta pemimpin Banyuwangi memberikan solusi atas apa yang mereka alami. (sun/bdh) pemkab banyuwangi seniman musisi pelaku seni ppkm birojatim",Banyuwangi,https://news.detik.com/berita-jawa-timur/d-5671453/ini-janji-pemkab-banyuwangi-usai-pelaku-seni-dan-musisi-gelar-aksi
8,"Kamis, 05 Agu 2021 20:44 WIB",Heri Susanto - detikNews,"Luhut Blusukan ke Malioboro, Bagi-bagi Uang ke PKL","Yogyakarta - Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan blusukan ke Malioboro , Yogyakarta , Kamis (5/8) petang. Berjalan dari Stasiun Tugu, Luhut bagi-bagi uang kepada PKL yang ia temui di Malioboro. Luhut datang di Malioboro sekitar pukul 17.00 WIB. Dengan pengawalan dari polisi dan TNI, ia mengecek langsung kondisi PKL Malioboro. ""Bagaimana bu, jualannya,"" kata Luhut kepada seorang pedagang di Malioboro, Kamis (5/8/2021). ""Wuah sepi e pak, baru tiga gelas,"" kata ibu penjual jus buah. ""Saya beli boleh,"" kata Luhut mengeluarkan uang tanpa mengambil barang yang ia beli. Baca juga: Luhut: Bulan Agustus Vaksinasi 72 Juta Penduduk Indonesia Luhut beberapa kali berhenti menanyakan kepada PKL yang membuka lapak terhadap kondisinya saat ini. Setiap selesai menanyakan kondisi PKL, Luhut lalu mengeluarkan amplop dari sakunya. Luhut juga menanyakan PKL apakah sudah mendapatkan vaksin atau belum. Beberapa PKL yang ia temui mengaku sudah mendapatkan vaksinasi. ""Segera vaksin, nanti kalau belum divaksin tidak bisa berjualan,"" kata Luhut terhadap salah seorang PKL yang mengaku belum mendapatkan vaksin. Kepada PKL yang meminta kelonggaran PPKM, Luhut mengatakan bahwa pemerintah akan memberi kelonggaran jika kondisi penularan COVID-19 sudah melandai. ""Kalau kita buka sedikit, nanti ditutup lagi. Kalau dibuka (semua akses), nanti kita semua kena COVID-19 kan repot kita,"" kata Luhut meminta pengertian PKL di Malioboro . Baca juga: Malioboro Sepi Pengunjung, PKL Jualan Online Saat ada penjual minuman asongan, Luhut langsung menyambut dengan memborong semua minuman. ""Saya traktir, ayo semua mau minum,"" katanya. Luhut berjalan sampai depan Gedung Agung, Istana Kepresidenan, di kawasan Titik Nol. Sesaat berkoordinasi, Luhut bersama dengan rombongannya lalu meninggalkan Malioboro . Simak video 'Tolak Nyerah Lawan Covid, Malioboro Dipenuhi Bendera Merah Putih': [Gambas:Video 20detik] (rih/mbr) luhut binsar pandjaitan malioboro pkl malioboro yogyakarta ppkm birojatengdiy",Yogyakarta,https://news.detik.com/berita-jawa-tengah/d-5671447/luhut-blusukan-ke-malioboro-bagi-bagi-uang-ke-pkl
9,"Kamis, 05 Agu 2021 22:05 WIB",Tim detikcom - detikHot,Aksi Dinar Candy Berbikini di Jalan Berujung Tersangka Kasus Pornografi,"Jakarta - Siapa sih yang nggak kenal dengan Dinar Candy? Bukan hanya sebagai seorang DJ, Dinar Candy juga dikenal sebagai penyanyi dangdut. Setiap kegiatan yang dilakukannya selalu mendapatkan sorotan tajam dari banyak orang. Seperti menjual celana dalam bekasnya dan yang saat ini ramai diperbincangkan adalah berbikini di jalanan. Bukan tanpa alasan Dinar Candy melakukan hal tersebut. Ia mengaku stres karena PPKM yang diperpanjang. Dinar Candy mengatakan jika dirinya kesulitan untuk melakukan kegiatan. Baca juga: Ini yang Menyebabkan Dinar Candy Jadi Tersangka Pornografi Semula aksi berbikini di jalan raya itu ditumpahkan Dinar Candy dalam Instagram miliknya. Kala itu ia sempat mencolek Jokowi, menanyakan soal PPKM diperpanjang atau tidak. Ternyata banyak yang meminta aksinya direalisasikan. Dinar Candy pun mengaku tidak takut. Ia sempat berujar bakal merealisasikan apa yang ditulisnya itu. Dan benar saja, Dinar Candy merealisasikan hal tersebut. Dengan menggunakan bikini berwarna pink, Dinar Candy melakukan aksinya itu. Ia pun sempat mengunggah tiga postingan di Instagram miliknya. Dua foto dan satu video. ""Saya stres karena PPKM diperpanjang,"" begitu tulis papan yang dibawa Dinar Candy. Baca juga: Gugat Cerai Tyas Mirasih, Raiden Soedjono Bicara Cobaan Calon Duda Keren ""warning !! jangan tiru adegan ini !! aku lagi cari pelampiasan lagi stres,"" tulis Dinar Candy dalam unggahan di Instagram miliknya. Tapi sayang lantaran aksinya itu, Dinar Candy saat ini menjalani pemeriksaan di kantor polisi. Bahkan Dinar Candy saat ini sudah dilaporkan oleh LBH SEMMI. Dinar Candy dilaporkan atas dugaan pelanggaran UU Pornografi. ""Melaporkan public figure Dinar Candy terkait peristiwa kemarin dia posting di IG berpakaian bikini di trotoar jalan bahwa dia stres karena PPKM diperpanjang,"" jelas Gurun Arisastra selaku Direktur Eksekutif LBH SEMMI kepada wartawan di Polda Metro Jaya, Jakarta, Kamis (5/8/2021). Dinar Candy Minta Aksinya Tidak Ditiru di halaman selanjutnya. Selanjutnya Halaman 1 2 Simak Video "" Meski Jadi Tersangka, Dinar Candy Tak Ditahan Polisi "" [Gambas:Video 20detik] dinar candy dinar candy tersangka dinar candy tersangka kasus pornografi dinar candy tersangka kasus uu ite dinar candy tersangka pornografi dinar candy berbikini",Jakarta,https://hot.detik.com/celeb/d-5671431/aksi-dinar-candy-berbikini-di-jalan-berujung-tersangka-kasus-pornografi
